"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_004M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native"
"310M100US48740","Willimantic, CT Micro Area","43167","1526","94.9","1.4","N","N","N","N","N","N","N","N","N","N","N","N","7.9","1.0","89.2","1.3","3.0","0.9","29.1","2.2","46.3","2.4","21.5","1.4","29177","1754","39.0","3.3","61.0","3.3","74.1","4.5","17.8","3.5","8.2","3.3","13990","1341","54.3","5.7","43.8","5.0","10.4","4.6","45.7","5.7","32.5","5.4","13.3","4.5","29.1","(X)","29.2","(X)","23.4","(X)","54098","4208","55441","4433","45870","12985","58015","131828","97746","-","**","52396","27453","17274","16524","14549","6146","57819","6433","37057","39825","56605","6753","66971","8977","39955","4664","68272","7476","65440","16886","69596","10346","82122","4786","26737","4315","40350","7863","35981","5425","32869","6759","28635","7850","61593","11810","39050","6597","33242","12466","50797","10741","(X)","(X)","(X)","(X)","(X)","(X)","39589"
"310M100US48900","Wilmington, NC Metro Area","152292","3798","83.8","1.0","12.4","0.9","N","N","N","N","N","N","N","N","N","N","3.5","0.5","81.8","1.0","5.2","0.8","29.8","1.3","37.1","1.3","27.9","0.9","98975","3914","37.6","2.3","62.4","2.3","74.8","2.7","18.4","2.3","6.8","1.3","53317","3026","56.7","2.8","44.7","3.7","12.0","2.2","43.3","2.8","32.2","2.9","11.1","1.9","29.3","(X)","29.9","(X)","26.7","(X)","49999","1652","52956","2717","31982","2592","36811","74301","9128","-","**","42260","20413","42288","21284","35315","16008","53534","2871","19983","7365","50565","2807","59431","3061","45000","2283","59973","3675","51271","5787","63701","3240","72896","3751","28661","2711","38128","10980","30803","1807","28134","2466","25637","2737","45572","10564","34105","5111","32302","4359","48250","17046","(X)","(X)","(X)","(X)","(X)","(X)","29318"
"310M100US48980","Wilson, NC Micro Area","31762","1146","55.8","2.6","37.5","2.8","N","N","N","N","N","N","N","N","N","N","N","N","54.5","2.5","1.3","0.9","33.4","2.2","41.1","2.2","24.2","2.0","19810","1343","N","N","N","N","N","N","N","N","N","N","11952","1422","57.5","4.9","50.5","5.0","7.0","3.5","42.5","4.9","31.8","5.5","10.7","3.8","31.0","(X)","30.5","(X)","31.5","(X)","37020","2118","49714","4869","21964","4953","6404","N","N","-","**","36700","8171","35711","14443","35061","11931","49838","5031","47625","78665","37906","6833","42927","6669","29019","5427","48755","3417","42097","11753","52064","5604","62248","4372","21711","7179","38438","15132","21567","4230","20224","3774","19498","4252","34574","28845","30489","12435","21688","15713","60056","53623","(X)","(X)","(X)","(X)","(X)","(X)","656"
"310M100US49020","Winchester, VA-WV Metro Area","50815","1846","91.0","1.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.9","1.7","3.3","1.3","28.9","2.1","43.1","2.4","24.7","2.1","31324","1605","N","N","N","N","N","N","N","N","N","N","19491","2026","50.3","5.0","42.5","5.0","7.8","2.9","49.7","5.0","41.0","5.2","8.7","2.8","27.7","(X)","29.0","(X)","25.5","(X)","47850","3783","49463","3931","47068","11764","31581","N","N","-","**","28819","6231","N","N","28832","10342","50071","3503","35939","11202","52521","8162","63899","14624","32882","3247","72111","6755","62202","16577","75325","4276","77480","6472","34180","10962","46888","9152","29700","5127","24054","6069","20515","3607","41141","9677","32669","6678","31469","4215","55112","31146","(X)","(X)","(X)","(X)","(X)","(X)","15227"
"310M100US49180","Winston-Salem, NC Metro Area","193105","2485","75.6","0.7","20.8","0.7","N","N","1.4","0.2","N","N","N","N","N","N","6.3","0.6","70.6","0.8","4.2","0.7","33.5","0.9","39.1","1.1","23.3","0.7","125823","3445","43.9","2.0","56.1","2.0","71.2","1.8","21.9","1.7","6.8","1.0","67282","3349","54.7","2.5","48.9","2.6","5.7","1.3","45.3","2.5","36.6","2.8","8.7","1.9","27.9","(X)","27.2","(X)","27.8","(X)","42254","1561","46928","1980","27224","2106","48426","51820","32137","-","**","28840","5350","39050","36460","26226","2064","49649","2107","20196","3609","42937","2480","51496","1624","33666","2011","53286","3383","46272","3403","60622","2293","69582","3649","25253","2527","28253","5452","25589","1966","23925","1826","23279","1772","34173","11736","28338","3905","25435","3299","43320","9863","(X)","(X)","(X)","(X)","(X)","(X)","13612"
"310M100US49300","Wooster, OH Micro Area","42246","1088","96.1","1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","95.7","1.1","3.7","1.2","29.4","2.0","41.6","1.7","25.2","1.6","30211","1484","N","N","N","N","N","N","N","N","N","N","12035","1380","55.5","6.1","47.9","6.0","7.6","2.9","44.5","6.1","35.8","6.4","8.7","3.4","36.7","(X)","34.2","(X)","41.7","(X)","47946","3492","49101","4123","14620","11363","40182","13687","7561","-","**","N","N","N","N","81419","28584","48974","4107","23517","9264","52232","6211","60704","3418","33161","3533","62227","4785","54564","6700","65776","3596","67833","2603","26954","7737","36407","12251","25141","3481","22163","2554","21303","3101","24451","17786","33518","6966","30664","5212","55828","14902","(X)","(X)","(X)","(X)","(X)","(X)","17971"
"310M100US49340","Worcester, MA Metro Area","300308","3373","89.1","0.6","3.2","0.3","N","N","3.3","0.3","N","N","2.3","0.4","1.7","0.4","7.5","0.5","84.9","0.5","2.7","0.5","31.3","0.6","44.2","0.8","21.8","0.6","196645","4218","45.2","1.4","54.8","1.4","73.5","1.7","19.2","1.3","7.3","0.9","103663","3993","54.7","2.2","45.4","2.2","9.3","1.6","45.3","2.2","34.0","2.2","11.3","1.6","27.5","(X)","27.4","(X)","26.4","(X)","62505","1711","65228","1713","41614","10123","60561","98308","14438","42672","16793","34547","7793","30296","5031","31506","3433","67078","1488","32480","7153","72155","2871","75034","2377","36330","2467","79320","1936","81331","2855","77431","2869","95726","3259","33679","2286","55658","7045","35150","2058","27088","3139","22294","1737","67090","11192","43950","3770","35585","3709","77248","8149","(X)","(X)","(X)","(X)","(X)","(X)","36567"
"310M100US49420","Yakima, WA Metro Area","78472","1783","83.7","2.0","N","N","3.5","0.6","N","N","N","N","9.3","1.6","N","N","35.2","1.4","58.5","1.4","4.8","1.0","33.5","1.6","39.7","1.5","22.0","1.2","56048","2389","48.9","2.6","51.1","2.6","73.0","2.8","19.6","2.7","7.4","1.4","22424","1881","53.1","4.6","45.7","4.5","7.5","2.4","46.9","4.6","38.0","4.7","8.9","2.7","27.0","(X)","29.3","(X)","18.8","(X)","43942","2209","44756","2261","31645","17863","40068","N","N","-","**","44362","6855","26445","16748","37383","2903","52258","5176","27668","12140","45559","5386","49062","5071","36554","5018","50549","2715","42530","4112","57099","3611","61225","2409","24678","4882","34928","4384","26895","2293","27777","3859","23502","5373","51291","16956","26425","2538","25520","2517","33044","18557","(X)","(X)","(X)","(X)","(X)","(X)","10955"
"310M100US49500","Yauco, PR Metro Area","30718","1559","92.1","1.9","N","N","N","N","N","N","N","N","N","N","N","N","99.3","0.5","N","N","1.0","0.7","25.1","3.0","41.9","2.7","32.0","2.8","23618","1533","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","27.0","(X)","25.0","(X)","30.7","(X)","15561","1354","15670","1357","N","N","-","-","**","-","**","15781","8877","N","N","15578","1334","N","N","4314","9639","22640","6038","15007","2558","13280","1970","18297","1619","18829","6654","18219","1549","23130","2429","10303","2694","16288","12452","7588","1358","6807","1044","6825","1516","6770","3329","9073","1902","7961","1757","13576","9241","(X)","(X)","(X)","(X)","(X)","(X)","**"
"310M100US49620","York-Hanover, PA Metro Area","168508","1980","92.2","0.7","4.9","0.5","N","N","0.9","0.2","N","N","N","N","N","N","4.3","0.5","89.8","0.7","2.3","0.5","30.9","0.9","42.1","1.0","24.7","0.7","118190","3283","41.3","1.7","58.7","1.7","77.5","1.7","15.2","1.6","7.3","1.0","50318","2730","53.4","2.7","46.0","2.5","7.3","1.8","46.6","2.7","37.0","2.6","9.6","1.9","24.4","(X)","23.2","(X)","25.0","(X)","55648","1503","57254","1741","31558","6482","N","92623","43118","-","**","26906","8976","48496","22050","32573","6420","57808","2108","35304","10928","62955","3372","67105","3092","35371","1621","66819","2642","67209","3118","66296","3893","76026","2003","31554","2313","55456","9542","30825","1346","25904","2442","22988","2136","53250","10775","37393","3658","31907","3813","66094","6747","(X)","(X)","(X)","(X)","(X)","(X)","N"
"310M100US49660","Youngstown-Warren-Boardman, OH-PA Metro Area","229328","2843","87.6","0.6","10.5","0.5","N","N","N","N","N","N","N","N","N","N","1.9","0.3","86.3","0.6","3.0","0.4","27.0","0.9","40.8","0.8","29.3","0.6","148065","3322","37.1","1.3","62.9","1.3","71.2","1.8","22.0","1.4","6.7","1.0","81263","3100","56.1","1.8","50.8","2.1","5.3","1.1","43.9","1.8","37.2","1.8","6.7","1.2","24.2","(X)","24.1","(X)","23.1","(X)","40686","1132","43689","1229","22542","2212","32441","N","N","N","N","35243","12968","21233","4110","27002","12778","43861","1255","17000","3372","43403","2024","50622","1755","31708","1129","51021","1354","44836","3999","53065","1532","61235","1363","24086","2056","39866","5285","23830","1048","20658","1268","19708","1068","37864","12925","30028","2747","27133","2504","43624","4625","(X)","(X)","(X)","(X)","(X)","(X)","8704"
"310M100US49700","Yuba City, CA Metro Area","56101","1055","78.1","2.1","N","N","N","N","8.2","1.0","N","N","6.5","1.7","3.9","0.9","21.5","1.4","63.9","1.7","6.1","1.5","36.8","2.2","37.5","2.5","19.7","1.3","40456","1955","49.8","3.2","50.2","3.2","71.8","2.9","18.8","2.4","9.4","1.9","15645","1729","52.2","5.4","43.0","5.5","9.1","3.5","47.8","5.4","29.2","5.2","18.7","4.1","21.5","(X)","20.8","(X)","21.0","(X)","45646","2950","46655","3772","70948","7477","N","54879","13382","N","N","41406","3691","26114","12595","37437","5935","50055","5272","27194","9529","53929","4254","56245","7366","33969","5988","53663","5648","48224","8703","59597","7101","63949","5205","22645","4495","26250","11213","27113","5455","24775","6303","18750","6479","57050","27540","29529","6593","24753","4258","42591","19951","(X)","(X)","(X)","(X)","(X)","(X)","N"
"310M100US49740","Yuma, AZ Metro Area","70895","1964","80.7","2.2","N","N","N","N","N","N","N","N","13.9","2.2","N","N","50.6","1.6","45.0","1.5","6.1","1.5","33.5","1.7","32.3","1.8","28.1","1.3","54889","2436","49.4","3.2","50.6","3.2","73.9","3.2","19.0","2.6","7.1","1.8","16006","1636","46.6","5.9","38.6","5.8","8.0","3.3","53.4","5.9","39.8","5.8","13.5","4.9","28.1","(X)","26.3","(X)","32.5","(X)","39485","2382","41550","2364","29427","8741","26056","54306","41607","55372","43813","32045","9293","21304","6670","33735","3648","48289","3766","21255","8543","44424","6643","47276","3836","33163","5662","41190","2559","39440","4134","42908","4249","49086","4028","22719","6309","29641","8097","25086","4711","22218","5595","17472","6410","52531","25617","26585","6173","21483","3617","41344","22844","(X)","(X)","(X)","(X)","(X)","(X)","15208"
"310M100US49780","Zanesville, OH Micro Area","33675","963","94.5","1.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94.4","1.1","4.8","1.6","29.9","2.0","40.0","2.1","25.4","1.8","23344","1402","N","N","N","N","N","N","N","N","N","N","10331","1143","57.5","5.6","50.4","5.6","7.0","3.4","42.5","5.6","37.3","5.6","5.2","2.6","26.7","(X)","28.8","(X)","20.6","(X)","39266","3301","39739","3889","21250","19908","-","2,500-","***","-","**","-","**","36831","25627","-","**","39682","3846","12780","7265","50074","8509","48757","6024","28678","4827","50943","2822","48120","7340","53525","7297","61606","5482","23193","6743","41518","15928","19439","2511","18249","2754","17787","2947","29191","14920","21221","3400","20087","4405","34184","19888","(X)","(X)","(X)","(X)","(X)","(X)","**"
"310M100US10140","Aberdeen, WA Micro Area","27880","1517","88.8","1.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","85.4","1.8","3.0","1.4","25.3","2.9","42.4","2.8","29.3","2.0","17482","1470","N","N","N","N","N","N","N","N","N","N","10398","1124","47.1","4.9","41.6","5.7","5.5","3.3","52.9","4.9","38.6","6.0","14.3","5.4","34.3","(X)","36.4","(X)","29.7","(X)","42057","3453","42811","4013","N","N","18309","63158","16179","-","**","36755","29527","43864","23965","34027","6487","43834","4377","14540","8319","44669","6037","49271","4960","35799","4039","53027","4323","41569","8210","60543","9416","62589","11642","30127","11383","54260","9434","22791","4193","16969","5317","17870","5231","2,500-","***","32200","6567","29171","5744","42038","20576","(X)","(X)","(X)","(X)","(X)","(X)","16594"
"310M100US10180","Abilene, TX Metro Area","60066","1843","88.4","1.7","5.5","1.2","N","N","N","N","N","N","N","N","N","N","15.8","1.3","76.4","1.6","7.4","1.4","34.1","1.7","33.6","2.0","24.9","1.5","39268","2167","45.2","3.6","54.8","3.6","74.5","2.7","17.9","2.5","7.6","2.0","20798","2000","54.4","5.2","47.8","5.7","6.6","2.2","45.6","5.2","37.3","5.3","8.3","3.1","34.4","(X)","33.5","(X)","35.0","(X)","43407","3150","45953","3333","30411","9951","42052","21947","8243","-","**","43565","26894","30424","23906","32231","4887","48677","3174","21460","4022","46703","5346","54410","6621","38090","4149","54822","3450","52265","6388","56246","4335","65818","3473","27470","5687","24751","16564","26609","2294","21152","4282","20096","4276","36209","10894","32138","4827","31864","4130","40422","25121","(X)","(X)","(X)","(X)","(X)","(X)","25299"
"310M100US10300","Adrian, MI Micro Area","37998","1168","97.7","0.9","N","N","N","N","N","N","N","N","N","N","N","N","6.9","1.1","91.9","1.1","3.0","1.1","28.2","1.9","43.8","1.7","24.9","1.6","25559","1333","N","N","N","N","N","N","N","N","N","N","12439","1233","50.8","5.9","46.7","5.9","4.1","1.9","49.2","5.9","40.4","5.6","8.8","3.3","27.4","(X)","26.0","(X)","29.5","(X)","48224","2798","48523","2963","N","N","N","95840","74903","-","**","N","N","53466","17880","26745","15167","49185","2919","14719","21372","49132","7913","56903","2610","34148","2719","59569","2415","59922","4377","59399","3677","67454","2563","29324","4703","30625","8872","25316","4598","20586","4382","19175","3816","41842","41097","30255","6340","28558","7648","48642","29823","(X)","(X)","(X)","(X)","(X)","(X)","N"
"310M100US10380","Aguadilla-Isabela-San Sebasti?n, PR Metro Area","99474","2878","70.6","2.1","3.9","0.9","N","N","N","N","N","N","5.2","1.0","19.9","1.7","97.5","0.7","N","N","2.1","0.8","27.4","1.9","39.9","1.8","30.7","1.6","71411","3230","38.3","2.7","61.7","2.7","65.9","2.8","25.3","2.6","8.8","1.5","28063","2139","54.4","4.3","50.1","4.7","4.3","2.2","45.6","4.3","37.1","4.2","8.5","2.6","21.4","(X)","23.6","(X)","13.8","(X)","15339","843","15255","891","15030","5761","2,500-","55203","28270","-","**","10036","4103","17103","2934","15234","860","N","N","4918","1900","15946","1624","17677","2378","12860","1437","18344","1801","14896","2192","20641","1341","23310","1487","9173","3080","12978","2557","8836","975","8000","1100","7441","991","18406","7380","10113","1441","9146","1841","12484","17648","(X)","(X)","(X)","(X)","(X)","(X)","***"
"310M100US10420","Akron, OH Metro Area","280887","3486","84.3","0.6","12.1","0.6","N","N","1.6","0.2","N","N","N","N","1.7","0.4","1.3","0.2","83.2","0.6","5.2","0.6","29.9","0.8","41.4","0.8","23.5","0.7","175146","3852","42.1","1.4","57.9","1.4","73.3","1.3","20.4","1.2","6.3","0.9","105741","3852","52.7","1.9","45.5","2.1","7.2","1.2","47.3","1.9","36.9","1.9","10.4","1.4","29.5","(X)","30.1","(X)","27.6","(X)","49731","1211","53863","1644","21692","2966","N","55378","16291","-","**","46250","28340","24531","10499","33840","7729","53984","1620","17192","2583","54283","2454","60616","2084","38515","1532","63328","1750","61493","3002","64284","2069","76745","2254","25568","3784","51092","5410","29760","1946","24394","1519","22506","1827","43321","6347","37031","2854","32187","3063","53489","12344","(X)","(X)","(X)","(X)","(X)","(X)","N"
"310M100US10460","Alamogordo, NM Micro Area","22769","1423","80.1","3.5","N","N","N","N","N","N","N","N","N","N","N","N","22.3","2.9","67.5","3.4","3.1","2.0","33.0","3.6","39.9","3.0","23.9","2.8","16605","1611","N","N","N","N","N","N","N","N","N","N","6164","1153","34.0","7.9","28.6","7.2","5.4","3.5","66.0","7.9","53.7","9.4","12.3","8.2","23.4","(X)","23.9","(X)","18.2","(X)","40583","7128","45235","6169","N","N","17872","37034","32231","-","**","N","N","N","N","19501","3378","48601","4938","18642","1573","36697","14016","48038","6666","35547","4122","44193","6227","29590","12725","46997","4227","58993","8528","19364","11687","25274","9483","29401","6294","25938","9178","23673","9180","54600","11949","32950","12526","24467","18391","53525","24431","(X)","(X)","(X)","(X)","(X)","(X)","10526"
